year,species,length_wet_cm,weight_wet_grams,weight_froz_grams,length_frozen_cm,,,,,,,,,,,,,,,,,
2001,Pink,461,1180,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,132,25,24,128,,,,,,,,,,,,,,,,,
2001,Pink,112,19,16,113,,,,,,,,,,,,,,,,,
2001,Pink,117,18,15,116,,,,,,,,,,,,,,,,,
2001,Pink,142,32,30,136,,,,,,,,,,,,,,,,,
2001,Pink,132,25,22,128,,,,,,,,,,,,,,,,,
2001,Pink,114,18,15,114,,,,,,,,,,,,,,,,,
2001,Pink,119,23,17,116,,,,,,,,,,,,,,,,,
2001,Pink,106,15,12,104,,,,,,,,,,,,,,,,,
2001,Pink,128,28,21,128,,,,,,,,,,,,,,,,,
2001,Pink,127,21,21,125,,,,,,,,,,,,,,,,,
2001,Pink,117,16,14,116,,,,,,,,,,,,,,,,,
2001,Pink,135,29,26,134,,,,,,,,,,,,,,,,,
2001,Pink,105,11,10,102,,,,,,,,,,,,,,,,,
2001,Pink,123,24,19,124,,,,,,,,,,,,,,,,,
2001,Pink,119,19,15,117,,,,,,,,,,,,,,,,,
2001,Pink,131,27,22,131,,,,,,,,,,,,,,,,,
2001,Pink,130,24,23,128,,,,,,,,,,,,,,,,,
2001,Pink,122,22,19,121,,,,,,,,,,,,,,,,,
2001,Pink,111,19,15,115,,,,,,,,,,,,,,,,,
2001,Pink,112,17,13,108,,,,,,,,,,,,,,,,,
2001,Pink,137,29,26,135,,,,,,,,,,,,,,,,,
2001,Pink,105,11,11,104,,,,,,,,,,,,,,,,,
2001,Pink,122,21,19,122,,,,,,,,,,,,,,,,,
2001,Pink,115,18,15,113,,,,,,,,,,,,,,,,,
2001,Pink,105,12,11,105,,,,,,,,,,,,,,,,,
2001,Pink,125,19,18,125,,,,,,,,,,,,,,,,,
2001,Pink,132,26,25,133,,,,,,,,,,,,,,,,,
2001,Pink,125,22,20,124,,,,,,,,,,,,,,,,,
2001,Pink,112,19,14,112,,,,,,,,,,,,,,,,,
2001,Pink,124,23,20,122,,,,,,,,,,,,,,,,,
2001,Sockeye,346,602,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,686,4070,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,162,54,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,140,35,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,135,33,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,140,30,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,147,36,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,149,36,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,141,31,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,134,31,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,127,25,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,161,46,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,618,3352,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,541,1858,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,394,746,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,381,659,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,374,588,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,395,669,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,402,745,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,395,697,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,441,1060,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,414,850,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,421,960,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,438,1010,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,499,1324,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,431,916,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,483,1385,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,486,1300,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,628,1669,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,488,1354,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,485,1248,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,372,604,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,652,3108,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,425,933,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,406,749,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,385,700,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,445,1008,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,427,918,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,402,748,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,522,1781,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,406,772,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,396,740,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,371,629,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,215,117,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,228,142,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,250,200,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,242,175,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,230,145,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,249,192,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,264,220,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,269,251,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,255,186,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,196,95,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,463,1178,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,462,1118,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,465,1170,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,486,1428,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,650,3488,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,218,108,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,189,65,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,190,67,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,211,102,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,202,84,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,206,94,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,198,78,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,203,88,nd,nd,,,,,,,,,,,,,,,,,
2001,Sockeye,223,112,nd,nd,,,,,,,,,,,,,,,,,
2001,Chinook,236,184,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,654,3462,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,592,2145,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,425,867,nd,nd,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,22,129,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,14,110,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,10,103,,,,,,,,,,,,,,,,,
2001,Chum,120,17,17,118,,,,,,,,,,,,,,,,,
2001,Chum,140,26,27,133,,,,,,,,,,,,,,,,,
2001,Chum,208,101,101,202,,,,,,,,,,,,,,,,,
2001,Chum,132,19,21,127,,,,,,,,,,,,,,,,,
2001,Chum,125,15,17,123,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,125,,,,,,,,,,,,,,,,,
2001,Chum,120,17,17,nd,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,115,,,,,,,,,,,,,,,,,
2001,Chum,130,20,20,130,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,124,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,25,135,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,24,135,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,120,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,14,111,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,15,112,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,22,126,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,29,138,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,126,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,32,142,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,120,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,127,,,,,,,,,,,,,,,,,
2001,Chum,118,14,20,128,,,,,,,,,,,,,,,,,
2001,Chum,126,18,15,117,,,,,,,,,,,,,,,,,
2001,Chum,123,17,17,123,,,,,,,,,,,,,,,,,
2001,Chum,131,20,16,120,,,,,,,,,,,,,,,,,
2001,Chum,132,22,21,130,,,,,,,,,,,,,,,,,
2001,Chum,137,24,22,130,,,,,,,,,,,,,,,,,
2001,Chum,123,15,25,130,,,,,,,,,,,,,,,,,
2001,Chum,122,17,16,118,,,,,,,,,,,,,,,,,
2001,Chum,128,19,17,117,,,,,,,,,,,,,,,,,
2001,Chum,125,18,18,122,,,,,,,,,,,,,,,,,
2001,Chum,132,19,52,161,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,13,108,,,,,,,,,,,,,,,,,
2001,Chum,137,26,26,130,,,,,,,,,,,,,,,,,
2001,Chum,149,29,28,142,,,,,,,,,,,,,,,,,
2001,Chum,136,24,24,132,,,,,,,,,,,,,,,,,
2001,Chum,117,16,0,nd,,,,,,,,,,,,,,,,,
2001,Chum,135,23,24,134,,,,,,,,,,,,,,,,,
2001,Chum,128,19,19,123,,,,,,,,,,,,,,,,,
2001,Chum,132,20,21,130,,,,,,,,,,,,,,,,,
2001,Chum,122,17,17,120,,,,,,,,,,,,,,,,,
2001,Chum,121,15,16,117,,,,,,,,,,,,,,,,,
2001,Chum,119,14,15,116,,,,,,,,,,,,,,,,,
2001,Chum,112,12,12,nd,,,,,,,,,,,,,,,,,
2001,Chum,170,52,20,124,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,119,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,17,118,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,26,133,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,118,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,123,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,18,118,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,22,127,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,15,113,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,19,125,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,15,110,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,nd,,,,,,,,,,,,,,,,,
